id,name,alias,iata,icao,callsign,country,is_active
1659,"Carib Express","","","BCB","WAVEBIRD","Barbados",0
1660,"Caribair","","","CBC","CARIBAIR","Dominican Republic",0
1661,"Caribbean Air Cargo","","","DCC","CARICARGO","Barbados",0
1662,"Caribbean Air Transport","","","CLT","CARIBBEAN","Netherlands",0
1663,"Caribbean Airlines","","BW","BWA","CARIBBEAN AIRLINES","Trinidad and Tobago",1
1664,"Caribbean Airways","","","IQQ","CARIBJET","Barbados",0
1665,"Caribbean Express","","","TLC","CARIB-X","United States",0
1666,"Caribbean Star Airlines","","8B","GFI","CARIB STAR","Antigua and Barbuda",0
1667,"Caribintair","","","CRT","CARIBINTAIR","Haiti",0
1668,"Carill Aviation","","","CVG","CARILL","United Kingdom",0
1669,"Carpatair","","V3","KRP","CARPATAIR","Romania",1
1670,"Carranza","","","CRR","CARRANZA","Chile",0
1671,"Carroll Air Service","","","ULS","ULSTER","United States",0
1672,"Casement Aviation","","","CMT","CASEMENT","United States",0
1673,"Casino Airline","","","CSO","CASAIR","United States",0
1674,"Casper Air Service","","","CSP","CASPER AIR","United States",0
1675,"Caspian Airlines","","RV","CPN","CASPIAN","Iran",1
1676,"Castle Aviation","","","CSJ","CASTLE","United States",0
1677,"Cat Aviation","","","CAZ","EUROCAT","Switzerland",0
1678,"Catalina Flying Boats","","","CBT","CATALINA AIR","United States",0
1679,"Catex","","","TEX","CATEX","France",0
1680,"Cathay Pacific","","CX","CPA","CATHAY","Hong Kong SAR of China",1
1681,"Caverton Helicopters","","","CJR","CAVERTON AIR","Nigeria",0
1682,"Cayman Airways","","KX","CAY","CAYMAN","Cayman Islands",1
1683,"Cebu Pacific","","5J","CEB","CEBU AIR","Philippines",1
1684,"Cecil Aviation","","","CIL","CECIL","United Kingdom",0
1685,"Cega Aviation","","","CEG","CEGA","United Kingdom",0
1686,"Celtic Airways","","","CEC","CELTAIR","United Kingdom",0
1687,"Celtic West","","","CWE","CELTIC","United Kingdom",0
1688,"Centavia","","7N","CNA","","Serbia",0
1689,"Cente D'Essais En Vol","","","CEV","CENTEV","France",0
1690,"Centennial Airlines","","","CNL","WYO-AIR","United States",0
1691,"Centennial Flight Centre","","","CNS","CENTENNIAL","Canada",0
1692,"Center Vol","","","CVO","CENTERVOL","Spain",0
1693,"Center-South","","","CTS","CENTER-SOUTH","Russia",0
1694,"Centrafrican Airlines","","","CET","CENTRAFRICAIN","Central African Republic",0
1695,"Central Air Express","","","CAX","CENTRAL EXPRESS","Democratic Republic of Congo",0
1696,"Central Airlines","","","CTL","CENTRAL COMMUTER","United States",0
1697,"Central Airways","","","CNY","CENTRAL LEONE","Sierra Leone",0
1698,"Central American Airlines","","","ACN","AEROCENTRO","Nicaragua",0
1699,"Central Aviation","","","YOG","YOGAN AIR","United States",0
1700,"Central Connect Airlines","","","CCG","","Czech Republic",1
1701,"Central De Discos De Reynosa","","","DRN","DISCOS REYNOSA","Mexico",0
1702,"Central European Airlines","","","CMA","EUROCENTRAL","Czech Republic",0
1703,"Central Flying Service","","","CHA","CHARTER CENTRAL","United States",0
1704,"Central Mongolia Airways","","","CEM","CENTRAL MONGOLIA","Mongolia",0
1705,"Central Mountain Air","","","GLR","GLACIER","Canada",0
1706,"Central Queensland Aviation College","","","CQC","","Australia",0
1707,"Central Skyport","","","CSI","SKYPORT","United States",0
1708,"Centralwings","","C0","CLW","CENTRALWINGS","Poland",1
1709,"Centre Airlines","","","DTV","DUTCH VALLEY","United States",0
1710,"Centre of Applied Geodynamica","","","CGS","GEO CENTRE","Russia",0
1711,"Centre-Avia","","J7","CVC","AVIACENTRE","Russia",0
1712,"Centro De Helicopteros Corporativos","","","CCV","HELICORPORATIVO","Mexico",0
1713,"Centro de Formacion Aeronautica de Canarias","","","ACF","FORCAN","Spain",0
1714,"Centurion Air Cargo","","WE","CWC","CHALLENGE CARGO","United States",0
1715,"Century Aviation","","","URY","CENTURY AVIA","Mexico",0
1716,"Century Aviation International","","","HAI","","Canada",0
1717,"Certified Air Dispatch","","","XAD","","United States",0
1718,"Cetraca Aviation Service","","","CER","CETRACA","Democratic Republic of the Congo",0
1719,"Chabahar Airlines","","","IRU","CHABAHAR","Iran",0
1720,"Chalair Aviation","","","CLG","CHALLAIR","France",0
1721,"Chalk's Ocean Airways","","OP","CHK","CHALKS","United States",0
1722,"Challenge Air Transport","","","CLS","AIRISTO","Germany",0
1723,"Challenge Aviation","","","CHS","CHALLENGE AVIATION","Australia",0
1724,"Challenge International Airlines","","","OFF","CHALLENGE AIR","United States",0
1725,"AC Challenge Aero","","","CHG","SKY CHALLENGER","Ukraine",0
1726,"Champagne Airlines","","","CPH","CHAMPAGNE","France",0
1727,"Champion Air","","MG","CCP","CHAMPION AIR","United States",0
1728,"Chanchangi Airlines","","","NCH","CHANCHANGI","Nigeria",0
1729,"Changan Airlines","","2Z","CGN","CHANGAN","China",0
1730,"Channel Island Aviation","","","CHN","CHANNEL","United States",0
1731,"Chantilly Air","","","WML","MARLIN","United States",0
1732,"Chaparral Airlines","","","CPL","CHAPARRAL","United States",0
1733,"Chari Aviation Services","","S8","CSU","CHARI SERVICE","Chad",0
1734,"Charlan Air Charter","","","CAH","CHARLAN","South Africa",0
1735,"Charlie Hammonds Flying Service","","","HMD","HAMMOND","United States",0
1736,"Charlotte Air National Guard","","","CGD","","United States",0
1737,"Charter Air","","","CHW","CHARTER WIEN","Austria",1
1738,"Chartright Air","","","HRT","CHARTRIGHT","Canada",0
1739,"Chautauqua Airlines","","RP","CHQ","CHAUTAUQUA","United States",1
1740,"Cheboksary Airenterprise JSC","","","CBB","CHEBAIR","Russia",0
1741,"Chemech Aviation","","","CHM","","Pakistan",0
1742,"Cherline","","","CHZ","CHERL","Russia",0
1743,"Chernomor-Avia","","","CMK","CHERAVIA","Russia",0
1744,"Cherokee Express","","","CBM","BLUE MAX","United States",0
1745,"Cherry Air","","","CCY","CHERRY","United States",0
1746,"Chesapeake Air Service","","","CAB","CHESAPEAKE AIR","United States",0
1747,"Chevron U.S.A","","","CVR","CHEVRON","United States",0
1748,"Cheyenne Airways","","","CYA","CHEYENNE AIR","United States",0
1749,"Chicago Air","","","CGO","WILD ONION","United States",0
1750,"Chicago Express","","C8","WDY","WINDY CITY","United States",0
1751,"Chief Rat Flight Services","","","RAT","RIVERRAT","South Africa",0
1752,"Chilchota Taxi Aereo","","","CCH","CHILCHOTA","Mexico",0
1753,"Chilcotin Caribou Aviation","","","DES","CHILCOTIN","Canada",0
1754,"Chilliwack Aviation","","","CAD","CHILLIWACKAIR","Canada",0
1755,"Chim-Nir Aviation","","","ETN","CHMINIR","Israel",0
1756,"China Airlines","","CI","CAL","DYNASTY","Taiwan",1
1757,"China Cargo Airlines","","CK","CKK","CARGO KING","China",0
1758,"China Eastern Airlines","","MU","CES","CHINA EASTERN","China",1
1759,"China Express Airlines","","","HXA","CHINA EXPRESS","China",0
1760,"China Flying Dragon Aviation","","","CFA","FEILONG","China",0
1761,"China General Aviation Corporation","","","CTH","TONGHANG","China",0
1762,"China National Aviation Corporation","","","CAG","CHINA NATIONAL","China",0
1763,"China Northern Airlines","","CJ","CBF","CHINA NORTHERN","China",0
1764,"China Northwest Airlines","","WH","CNW","CHINA NORTHWEST","China",0
1765,"China Ocean Helicopter Corporation","","","CHC","CHINA HELICOPTER","China",0
1766,"China Postal Airlines","","8Y","CYZ","CHINA POST","China",0
1767,"China Southern Airlines","","CZ","CSN","CHINA SOUTHERN","China",1
1768,"China Southwest Airlines","","","CXN","CHINA SOUTHWEST","China",0
